InvoiceGlobalId,cluster
4099_1273933,0
4099_1273936,4
4099_1273937,0
4099_1273938,0
4099_1273939,0
4099_1273940,4
4099_1273941,4
4099_1273943,5
4099_1273944,6
4099_1273945,4
4099_1273946,0
4099_1273948,0
4099_1273949,4
4099_1273950,7
4099_1273952,0
4099_1273953,4
4099_1273954,5
4099_1273955,5
4099_1273959,4
4099_1273960,4
4099_1273961,4
4099_1273963,0
4099_1273964,4
4099_1273966,4
4099_1273970,5
4099_1273971,0
4099_1273972,0
4099_1273975,0
4099_1273976,0
4099_1273978,0
4099_1273980,4
4099_1273983,0
4099_1273984,6
4099_1273986,0
4099_1273988,0
4099_1273992,4
4099_1273993,0
4099_1273994,0
4099_1273996,0
4099_1273998,4
4099_1274000,4
4099_1274004,4
4099_1274009,4
4099_1274011,4
4099_1274014,4
4099_1274015,0
4099_1274017,0
4099_1274018,4
4099_1274021,4
4099_1274025,4
4099_1274026,5
4099_1274029,7
4099_1274030,0
4099_1274031,4
4099_1274032,6
4099_1274033,0
4099_1274034,0
4099_1274035,0
4099_1274037,6
4099_1274038,0
4099_1274039,4
4099_1274040,6
4099_1274042,0
4099_1274043,0
4099_1274045,0
4099_1274046,7
4099_1274047,0
4099_1274048,0
4099_1274050,4
4099_1274052,3
4099_1274053,4
4099_1274054,4
4099_1274055,4
4099_1274057,6
4099_1274058,4
4099_1274059,2
4099_1274061,0
4099_1274063,0
4099_1274064,5
4099_1274065,4
4099_1274066,1
4099_1274067,0
4099_1274068,6
4099_1274071,5
4099_1274072,0
4099_1274074,4
4099_1274075,0
4099_1274077,5
4099_1274078,4
4099_1274079,4
4099_1274081,0
4099_1274082,4
4099_1274083,0
4099_1274085,0
4099_1274087,0
4099_1274088,0
4099_1274089,0
4099_1274090,6
4099_1274091,4
4099_1274092,4
4099_1274094,5
4099_1274095,6
4099_1274097,4
4099_1274099,4
4099_1274100,6
4099_1274101,0
4099_1274102,4
4099_1274104,0
4099_1274106,4
4099_1274107,4
4099_1274109,4
4099_1274110,4
4099_1274111,4
4099_1274112,4
4099_1274114,4
4099_1274116,6
4099_1274117,5
4099_1274119,4
4099_1274121,4
4099_1274122,6
4099_1274123,0
4099_1274124,4
4099_1274125,0
4099_1274126,4
4099_1274127,4
4099_1274129,0
4099_1274131,4
4099_1274132,4
4099_1274133,4
4099_1274135,4
4099_1274136,4
4099_1274138,7
4099_1274139,0
4099_1274140,0
4099_1274142,4
4099_1274143,0
4099_1274145,0
4099_1274146,4
4099_1274148,4
4099_1274149,4
4099_1274150,1
4099_1274151,2
4099_1274152,7
4099_1274153,4
4099_1274154,4
4099_1274155,0
4099_1274158,0
4099_1274160,4
4099_1274161,7
4099_1274162,4
4099_1274163,0
4099_1274164,4
4099_1274165,0
4099_1274166,4
4099_1274167,4
4099_1274168,4
4099_1274169,6
4099_1274170,4
4099_1274172,4
4099_1274174,0
4099_1274175,4
4099_1274177,3
4099_1274178,5
4099_1274179,4
4099_1274180,4
4099_1274181,0
4099_1274183,7
4099_1274184,1
4099_1274185,6
4099_1274186,0
4099_1274188,0
4099_1274189,4
4099_1274190,4
4099_1274191,0
4099_1274192,4
4099_1274193,2
4099_1274194,4
4099_1274195,0
4099_1274196,0
4099_1274197,3
4099_1274198,3
4099_1274199,0
4099_1274200,1
4099_1274201,0
4099_1274202,6
4099_1274203,5
4099_1274204,4
4099_1274205,5
4099_1274206,6
4099_1274208,0
4099_1274209,5
4099_1274210,5
4099_1274212,4
4099_1274214,6
4099_1274216,4
4099_1274217,4
4099_1274218,4
4099_1274220,4
4099_1274221,0
4099_1274223,0
4099_1274225,4
4099_1274226,5
4099_1274227,2
4099_1274229,0
4099_1274230,6
4099_1274231,6
4099_1274234,0
4099_1274236,0
4099_1274237,5
4099_1274238,0
4099_1274239,0
4099_1274241,0
4099_1274242,4
4099_1274244,6
4099_1274247,0
4099_1274248,0
4099_1274249,0
4099_1274250,0
4099_1274251,4
4099_1274252,4
4099_1274253,4
4099_1274254,5
4099_1274255,4
4099_1274256,4
4099_1274259,0
4099_1274260,4
4099_1274262,0
4099_1274263,0
4099_1274265,5
4099_1274266,4
4099_1274267,4
4099_1274268,4
4099_1274270,3
4099_1274271,4
4099_1274272,5
4099_1274273,6
4099_1274275,0
4099_1274276,0
4099_1274277,0
4099_1274278,6
4099_1274279,4
4099_1274281,4
4099_1274282,7
4099_1274283,0
4099_1274284,0
4099_1274286,0
4099_1274287,0
4099_1274288,4
4099_1274290,4
4099_1274291,0
4099_1274292,2
4099_1274294,1
4099_1274295,5
4099_1274296,6
4099_1274297,0
4099_1274298,0
4099_1274299,4
4099_1274300,7
4099_1274301,4
4099_1274303,4
4099_1274304,4
4099_1274305,2
4099_1274306,6
4099_1274307,0
4099_1274308,4
4099_1274310,1
4099_1274312,3
4099_1274313,4
4099_1274314,7
4099_1274315,6
4099_1274316,0
4099_1274317,4
4099_1274318,5
4099_1274319,0
4099_1274320,6
4099_1274321,0
4099_1274322,6
4099_1274324,0
4099_1274325,0
4099_1274326,2
4099_1274327,0
4099_1274328,0
4099_1274330,0
4099_1274331,6
4099_1274332,0
4099_1274333,0
4099_1274334,5
4099_1274335,4
4099_1274336,4
4099_1274337,0
4099_1274338,4
4099_1274339,0
4099_1274340,4
4099_1274341,4
4099_1274342,4
4099_1274343,4
4099_1274344,5
4099_1274345,5
4099_1274346,0
4099_1274347,0
4099_1274348,0
4099_1274349,5
4099_1274350,0
4099_1274351,4
4099_1274352,5
4099_1274353,2
4099_1274354,5
4099_1274355,4
4099_1274356,0
4099_1274357,6
4099_1274358,7
4099_1274359,4
4099_1274360,5
4099_1274361,4
4099_1274363,5
4099_1274364,6
4099_1274365,6
4099_1274366,6
4099_1274368,0
4099_1274369,4
4099_1274370,1
4099_1274371,5
4099_1274372,4
4099_1274374,0
4099_1274375,4
4099_1274376,0
4099_1274377,4
4099_1274379,2
4099_1274380,4
4099_1274381,4
4099_1274382,2
4099_1274383,3
4099_1274384,5
4099_1274385,6
4099_1274386,3
4099_1274387,1
4099_1274388,4
4099_1274389,4
4099_1274390,7
4099_1274391,4
4099_1274392,1
4099_1274393,0
4099_1274394,0
4099_1274396,4
4099_1274397,4
4099_1274398,4
4099_1274399,4
4099_1274400,0
4099_1274401,2
4099_1274402,4
4099_1274403,1
4099_1274404,1
4099_1274407,4
4099_1274408,2
4099_1274409,6
4099_1274410,4
4099_1274411,7
4099_1274412,4
4099_1274413,7
4099_1274415,0
4099_1274416,0
4099_1274417,3
4099_1274418,1
4099_1274419,2
4099_1274420,3
4099_1274421,5
4099_1274422,2
4099_1274423,7
4099_1274424,4
4099_1274426,6
4099_1274427,3
4099_1274428,5
4099_1274429,7
4099_1274430,3
4099_1274431,4
4099_1274432,0
4099_1274433,4
4099_1274434,0
4099_1274435,7
4099_1274436,6
4099_1274439,0
4099_1274441,4
4099_1274442,0
4099_1274443,0
4099_1274444,0
4099_1274446,4
4099_1274447,6
4099_1274451,0
4099_1274453,5
4099_1274454,2
4099_1274455,4
4099_1274456,6
4099_1274457,4
4099_1274458,4
4099_1274462,0
4099_1274463,0
4099_1274464,5
4099_1274465,0
4099_1274466,0
4099_1274467,4
4099_1274468,0
4099_1274469,4
4099_1274470,6
4099_1274472,4
4099_1274473,0
4099_1274474,0
4099_1274476,5
4099_1274480,0
4099_1274481,0
4099_1274482,0
4099_1274484,0
4099_1274485,4
4099_1274486,4
4099_1274489,0
4099_1274494,0
4099_1274498,6
4099_1274499,0
4099_1274501,4
4099_1274504,4
4099_1274505,0
4099_1274507,0
4099_1274508,0
4099_1274510,0
4099_1274511,0
4099_1274512,0
4099_1274513,0
4099_1274514,5
4099_1274516,0
4099_1274517,0
4099_1274518,0
4099_1274520,0
4099_1274521,2
4099_1274523,5
4099_1274524,0
4099_1274527,0
4099_1274528,0
4099_1274529,4
4099_1274531,4
4099_1274532,4
4099_1274533,4
4099_1274534,0
4099_1274535,4
4099_1274536,5
4099_1274537,4
4099_1274538,5
4099_1274539,0
4099_1274542,0
4099_1274543,0
4099_1274544,0
4099_1274549,4
4099_1274550,1
4099_1274552,0
4099_1274554,0
4099_1274555,0
4099_1274557,0
4099_1274558,0
4099_1274559,4
4099_1274560,0
4099_1274562,6
4099_1274564,0
4099_1274565,4
4099_1274566,3
4099_1274568,0
4099_1274569,0
4099_1274570,0
4099_1274571,0
4099_1274572,0
4099_1274573,4
4099_1274574,0
4099_1274576,6
4099_1274577,0
4099_1274578,0
4099_1274580,0
4099_1274581,4
4099_1274584,0
4099_1274586,4
4099_1274588,0
4099_1274589,0
4099_1274590,3
4099_1274591,0
4099_1274593,4
4099_1274596,4
4099_1274598,6
4099_1274601,5
4099_1274602,4
4099_1274603,0
4099_1274605,0
4099_1274606,0
4099_1274607,0
4099_1274609,0
4099_1274610,5
4099_1274611,6
4099_1274613,6
4099_1274614,0
4099_1274615,1
4099_1274616,6
4099_1274617,0
4099_1274619,0
4099_1274620,0
4099_1274621,4
4099_1274622,6
4099_1274623,4
4099_1274624,0
4099_1274626,5
4099_1274627,4
4099_1274629,6
4099_1274632,0
4099_1274634,3
4099_1274636,5
4099_1274638,6
4099_1274639,5
4099_1274640,5
4099_1274641,0
